time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 14:37:06,2026-08-26 14:37:05,17,4156849429,2026-08-26 14:37:06,server,c3:00:00:13:3b:b7,ESP-02,add140c5-7ab9-4bde-bb84-ef0b25573cc3,DIN2–AB-R2,,,Sala A,-69,,,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-69.0,,,,False,False,False,False
2026-08-26 14:37:07,2026-08-26 14:37:06,2856,2605610151,2026-08-26 14:37:07,server,c3:00:00:13:3b:b7,ESP-01,0ed020b8-3964-4f59-819e-c99cef6ca24d,DIN2–AB-R2,,,Corredor,-75,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-69.0,-69.0,,,False,False,False,False
2026-08-26 14:37:10,2026-08-26 14:37:09,2870,1366431522,2026-08-26 14:37:10,server,c3:00:00:13:3b:b7,ESP-03,f2e2a3a9-492b-49c3-aa91-baafa541811f,DIN2–AB-R2,,,Sala B,-81,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-69.0,-69.0,,Sala A,True,False,True,True
2026-08-26 14:37:13,2026-08-26 14:37:12,18,4156849429,2026-08-26 14:37:13,server,c3:00:00:13:3b:b7,ESP-02,24cb4845-6766-4079-a315-5e1e5a3ef2fc,DIN2–AB-R2,,,Sala A,-65,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-67.0,-67.0,,Sala A,False,True,True,True
2026-08-26 14:37:13,2026-08-26 14:37:13,2857,2605610151,2026-08-26 14:37:13,server,c3:00:00:13:3b:b7,ESP-01,c7320fde-01f2-4875-82d6-3dc75a0a557d,DIN2–AB-R2,,,Corredor,-77,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-67.0,-67.0,,Sala A,False,False,True,True
2026-08-26 14:37:17,2026-08-26 14:37:16,2871,1366431522,2026-08-26 14:37:17,server,c3:00:00:13:3b:b7,ESP-03,d617062f-6829-4506-b922-eab5a982b176,DIN2–AB-R2,,,Sala B,-76,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-65.0,-65.0,,Sala A,False,False,True,True
2026-08-26 14:37:20,2026-08-26 14:37:19,19,4156849429,2026-08-26 14:37:20,server,c3:00:00:13:3b:b7,ESP-02,de4cfa0d-2213-4a77-8d91-25c68ecc2fda,DIN2–AB-R2,,,Sala A,-80,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-72.5,-72.5,,Sala A,False,True,True,True
2026-08-26 14:37:20,2026-08-26 14:37:19,2858,2605610151,2026-08-26 14:37:20,server,c3:00:00:13:3b:b7,ESP-01,d260ed67-16f8-4630-aa0d-0251154c4649,DIN2–AB-R2,,,Corredor,-68,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-72.5,-72.5,,Sala A,False,False,True,True
2026-08-26 14:37:23,2026-08-26 14:37:22,2872,1366431522,2026-08-26 14:37:23,server,c3:00:00:13:3b:b7,ESP-03,c84d9a75-9f6d-4fb8-9514-eee100576d45,DIN2–AB-R2,,,Sala B,-85,Sala A,movimento,Sala B,True,Corredor,True,Corredor,True,False,Corredor,-68.0,-80.0,12.0,Sala A,False,False,False,False
2026-08-26 14:37:26,2026-08-26 14:37:25,20,4156849429,2026-08-26 14:37:26,server,c3:00:00:13:3b:b7,ESP-02,9690d87b-cf06-42c1-8fd8-a3ed51d039fa,DIN2–AB-R2,,,Sala A,-63,Sala A,movimento,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-68.0,-68.0,,Sala A,False,True,False,False
2026-08-26 14:37:27,2026-08-26 14:37:26,2859,2605610151,2026-08-26 14:37:27,server,c3:00:00:13:3b:b7,ESP-01,e8817859-d979-43c9-8da8-5c58d30542a7,DIN2–AB-R2,,,Corredor,-81,Corredor,movimento,Corredor,True,Sala A,True,Corredor,False,True,Sala A,-71.5,-74.5,3.0,Corredor,True,True,False,True
2026-08-26 14:37:30,2026-08-26 14:37:29,2873,1366431522,2026-08-26 14:37:30,server,c3:00:00:13:3b:b7,ESP-03,c2b429e5-86ce-45e5-9ff3-eef0bb7b03b0,DIN2–AB-R2,,,Sala B,-82,Corredor,movimento,Sala B,True,Sala A,False,Sala A,True,False,Sala A,-63.0,-81.0,18.0,Corredor,False,False,False,False
2026-08-26 14:37:33,2026-08-26 14:37:32,21,4156849429,2026-08-26 14:37:33,server,c3:00:00:13:3b:b7,ESP-02,3280bc24-943d-4803-94ba-d4e76a451440,DIN2–AB-R2,,,Sala A,-84,Sala B,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-73.5,-73.5,,Corredor,False,False,False,False
2026-08-26 14:37:33,2026-08-26 14:37:32,2860,2605610151,2026-08-26 14:37:33,server,c3:00:00:13:3b:b7,ESP-01,105a7469-1867-4a4d-b477-df1019ae0f52,DIN2–AB-R2,,,Corredor,-50,Sala B,movimento,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-65.5,-73.5,8.0,Corredor,False,True,True,True
2026-08-26 14:37:36,2026-08-26 14:37:36,2874,1366431522,2026-08-26 14:37:36,server,c3:00:00:13:3b:b7,ESP-03,9ea61baf-1374-43f5-879b-795d004c55eb,DIN2–AB-R2,,,Sala B,-64,Sala B,movimento,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
