mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,2
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,2
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,2
c3:00:00:13:3b:b7,baseline,Sala A,Corredor,5
c3:00:00:13:3b:b7,baseline,Sala A,Sala A,5
c3:00:00:13:3b:b7,baseline,Sala A,Sala B,5
c3:00:00:13:3b:b7,baseline,Sala B,Corredor,7
c3:00:00:13:3b:b7,baseline,Sala B,Sala A,3
c3:00:00:13:3b:b7,baseline,Sala B,Sala B,7
c3:00:00:13:3b:b7,median,Corredor,Corredor,4
c3:00:00:13:3b:b7,median,Corredor,Sala A,2
c3:00:00:13:3b:b7,median,Sala A,Corredor,1
c3:00:00:13:3b:b7,median,Sala A,Sala A,13
c3:00:00:13:3b:b7,median,Sala A,Sala B,1
c3:00:00:13:3b:b7,median,Sala B,Corredor,1
c3:00:00:13:3b:b7,median,Sala B,Sala B,16
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,4
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala A,2
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala A,13
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala B,2
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Corredor,1
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala B,16
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,2
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala A,4
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala A,11
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,desconhecida,4
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Corredor,3
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Sala B,14
